source,locality,bhk,price_raw,area_raw,title,url,scraped_date,price,area_sqft,price_per_sqft,year,month,month_name,week_number,festival,is_festival
99acres,Arera Colony,1 BHK,"₹ 10,500/month",585 sq.ft,1 BHK Flat in Arera Colony,https://example.com/arera-colony/1-bhk,2024-01-15,10500,585.0,17.95,2024,1,Jan,3,,False
99acres,Arera Colony,1 BHK,"₹ 9,500/month",456 sq.ft,1 BHK Flat in Arera Colony,https://example.com/arera-colony/1-bhk,2024-01-15,9500,456.0,20.83,2024,1,Jan,3,,False
99acres,Arera Colony,1 BHK,"₹ 10,500/month",569 sq.ft,1 BHK Flat in Arera Colony,https://example.com/arera-colony/1-bhk,2024-01-15,10500,569.0,18.45,2024,1,Jan,3,,False
99acres,Arera Colony,2 BHK,"₹ 19,500/month",907 sq.ft,2 BHK Flat in Arera Colony,https://example.com/arera-colony/2-bhk,2024-01-15,19500,907.0,21.5,2024,1,Jan,3,,False
99acres,Arera Colony,2 BHK,"₹ 15,500/month",710 sq.ft,2 BHK Flat in Arera Colony,https://example.com/arera-colony/2-bhk,2024-01-15,15500,710.0,21.83,2024,1,Jan,3,,False
99acres,Arera Colony,2 BHK,"₹ 15,500/month",781 sq.ft,2 BHK Flat in Arera Colony,https://example.com/arera-colony/2-bhk,2024-01-15,15500,781.0,19.85,2024,1,Jan,3,,False
magicbricks,Arera Colony,3 BHK,"₹ 30,000/month",1324 sq.ft,3 BHK Flat in Arera Colony,https://example.com/arera-colony/3-bhk,2024-01-15,30000,1324.0,22.66,2024,1,Jan,3,,False
magicbricks,Arera Colony,3 BHK,"₹ 27,000/month",1188 sq.ft,3 BHK Flat in Arera Colony,https://example.com/arera-colony/3-bhk,2024-01-15,27000,1188.0,22.73,2024,1,Jan,3,,False
99acres,Arera Colony,3 BHK,"₹ 22,500/month",1424 sq.ft,3 BHK Flat in Arera Colony,https://example.com/arera-colony/3-bhk,2024-01-15,22500,1424.0,15.8,2024,1,Jan,3,,False
magicbricks,MP Nagar,1 BHK,"₹ 12,000/month",575 sq.ft,1 BHK Flat in MP Nagar,https://example.com/mp-nagar/1-bhk,2024-01-15,12000,575.0,20.87,2024,1,Jan,3,,False
99acres,MP Nagar,1 BHK,"₹ 10,500/month",469 sq.ft,1 BHK Flat in MP Nagar,https://example.com/mp-nagar/1-bhk,2024-01-15,10500,469.0,22.39,2024,1,Jan,3,,False
magicbricks,MP Nagar,1 BHK,"₹ 10,500/month",639 sq.ft,1 BHK Flat in MP Nagar,https://example.com/mp-nagar/1-bhk,2024-01-15,10500,639.0,16.43,2024,1,Jan,3,,False
magicbricks,MP Nagar,1 BHK,"₹ 11,500/month",426 sq.ft,1 BHK Flat in MP Nagar,https://example.com/mp-nagar/1-bhk,2024-01-15,11500,426.0,27.0,2024,1,Jan,3,,False
magicbricks,MP Nagar,1 BHK,"₹ 8,500/month",424 sq.ft,1 BHK Flat in MP Nagar,https://example.com/mp-nagar/1-bhk,2024-01-15,8500,424.0,20.05,2024,1,Jan,3,,False
99acres,MP Nagar,2 BHK,"₹ 15,000/month",911 sq.ft,2 BHK Flat in MP Nagar,https://example.com/mp-nagar/2-bhk,2024-01-15,15000,911.0,16.47,2024,1,Jan,3,,False
99acres,MP Nagar,2 BHK,"₹ 18,000/month",955 sq.ft,2 BHK Flat in MP Nagar,https://example.com/mp-nagar/2-bhk,2024-01-15,18000,955.0,18.85,2024,1,Jan,3,,False
magicbricks,MP Nagar,2 BHK,"₹ 17,000/month",1041 sq.ft,2 BHK Flat in MP Nagar,https://example.com/mp-nagar/2-bhk,2024-01-15,17000,1041.0,16.33,2024,1,Jan,3,,False
magicbricks,MP Nagar,2 BHK,"₹ 20,500/month",728 sq.ft,2 BHK Flat in MP Nagar,https://example.com/mp-nagar/2-bhk,2024-01-15,20500,728.0,28.16,2024,1,Jan,3,,False
magicbricks,MP Nagar,2 BHK,"₹ 17,000/month",990 sq.ft,2 BHK Flat in MP Nagar,https://example.com/mp-nagar/2-bhk,2024-01-15,17000,990.0,17.17,2024,1,Jan,3,,False
99acres,MP Nagar,3 BHK,"₹ 24,500/month",1331 sq.ft,3 BHK Flat in MP Nagar,https://example.com/mp-nagar/3-bhk,2024-01-15,24500,1331.0,18.41,2024,1,Jan,3,,False
99acres,MP Nagar,3 BHK,"₹ 36,500/month",1118 sq.ft,3 BHK Flat in MP Nagar,https://example.com/mp-nagar/3-bhk,2024-01-15,36500,1118.0,32.65,2024,1,Jan,3,,False
99acres,MP Nagar,3 BHK,"₹ 29,500/month",1409 sq.ft,3 BHK Flat in MP Nagar,https://example.com/mp-nagar/3-bhk,2024-01-15,29500,1409.0,20.94,2024,1,Jan,3,,False
99acres,MP Nagar,3 BHK,"₹ 30,500/month",1442 sq.ft,3 BHK Flat in MP Nagar,https://example.com/mp-nagar/3-bhk,2024-01-15,30500,1442.0,21.15,2024,1,Jan,3,,False
magicbricks,MP Nagar,3 BHK,"₹ 24,500/month",1252 sq.ft,3 BHK Flat in MP Nagar,https://example.com/mp-nagar/3-bhk,2024-01-15,24500,1252.0,19.57,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,1 BHK,"₹ 7,000/month",441 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,7000,441.0,15.87,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,1 BHK,"₹ 7,500/month",452 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,7500,452.0,16.59,2024,1,Jan,3,,False
99acres,Shivaji Nagar,1 BHK,"₹ 6,500/month",575 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,6500,575.0,11.3,2024,1,Jan,3,,False
99acres,Shivaji Nagar,1 BHK,"₹ 8,000/month",552 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,8000,552.0,14.49,2024,1,Jan,3,,False
99acres,Shivaji Nagar,1 BHK,"₹ 7,000/month",534 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,7000,534.0,13.11,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,1 BHK,"₹ 7,500/month",441 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,7500,441.0,17.01,2024,1,Jan,3,,False
99acres,Shivaji Nagar,1 BHK,"₹ 7,000/month",467 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,7000,467.0,14.99,2024,1,Jan,3,,False
